,Population,60-64,65-69,70-74,75-79,80-84,85+,MedianAge,NumDoctors
Abbotsford South,58755.0,3145.0,2460.0,1990.0,1670.0,1420.0,1805.0,38.9,67
Abbotsford West,57835.0,3445.0,2800.0,2195.0,1780.0,1485.0,1170.0,37.4,32
Abbotsford-Mission,58715.0,3385.0,2215.0,1530.0,1160.0,725.0,505.0,38.5,28
Boundary-Similkameen,42625.0,4650.0,3860.0,3135.0,2370.0,1640.0,1300.0,54.5,49
Burnaby North,55010.0,3275.0,2225.0,1940.0,1595.0,1170.0,1090.0,40.1,53
Burnaby-Deer Lake,55075.0,2960.0,2360.0,2025.0,1780.0,1330.0,1185.0,40.9,97
Burnaby-Edmonds,56890.0,3035.0,2090.0,1630.0,1335.0,1100.0,1190.0,39.1,39
Burnaby-Lougheed,56235.0,3265.0,2030.0,1740.0,1340.0,935.0,825.0,38.9,39
Cariboo North,29255.0,2270.0,1555.0,1100.0,795.0,515.0,395.0,44.4,31
Cariboo-Chilcotin,33140.0,2850.0,2090.0,1460.0,1035.0,675.0,485.0,45.7,38
Chilliwack,46640.0,2775.0,2225.0,2030.0,1760.0,1505.0,1475.0,42.4,75
Chilliwack-Kent,48300.0,3155.0,2680.0,1930.0,1410.0,915.0,610.0,40.3,34
Columbia River-Revelstoke,31565.0,2365.0,1635.0,1260.0,935.0,740.0,595.0,44.4,63
Coquitlam-Burke Mountain,54325.0,2825.0,1800.0,1380.0,1110.0,740.0,590.0,39.7,52
Coquitlam-Maillardville,53655.0,3140.0,2140.0,1800.0,1270.0,935.0,1025.0,41.1,49
Courtenay-Comox,53690.0,4440.0,3590.0,2735.0,2230.0,1505.0,1495.0,48.0,117
Cowichan Valley,57530.0,4580.0,3310.0,2565.0,2050.0,1505.0,1425.0,46.3,105
Delta North,53945.0,3495.0,2310.0,1600.0,1090.0,685.0,480.0,39.4,44
Delta South,46645.0,3435.0,2985.0,2180.0,1580.0,1310.0,1385.0,46.9,61
Esquimalt-Metchosin,48485.0,3405.0,2465.0,1655.0,1360.0,1005.0,865.0,43.1,64
Fraser-Nicola,33630.0,2875.0,2405.0,1790.0,1255.0,810.0,560.0,48.0,31
Kamloops-North Thompson,52545.0,3770.0,2790.0,2255.0,1715.0,1145.0,1000.0,44.0,16
Kamloops-South Thompson,54625.0,3740.0,2720.0,2045.0,1620.0,1175.0,1035.0,42.2,97
Kelowna West,57475.0,4005.0,3215.0,2705.0,2160.0,1640.0,1370.0,44.1,71
Kelowna-Lake Country,58785.0,3870.0,2885.0,2400.0,1870.0,1305.0,1025.0,42.2,38
Kelowna-Mission,58090.0,3820.0,2925.0,2650.0,2415.0,2125.0,2305.0,45.2,126
Kootenay East,39545.0,2855.0,2040.0,1490.0,1070.0,810.0,635.0,43.0,77
Kootenay West,41100.0,3310.0,2370.0,1885.0,1400.0,1110.0,1000.0,47.2,72
Langford-Juan de Fuca,47045.0,2835.0,1870.0,1260.0,910.0,620.0,645.0,39.4,30
Langley,55065.0,3305.0,2375.0,1655.0,1250.0,1320.0,1350.0,39.5,44
Langley East,56710.0,3565.0,2695.0,1870.0,1485.0,1105.0,1040.0,41.8,61
Maple Ridge-Mission,56045.0,3060.0,2100.0,1565.0,1265.0,965.0,925.0,39.6,44
